feature,consensus_count,variance,correlation,univariate,backward,model_based,lasso
ratio_sttl_dttl,6,True,True,True,True,True,True
log_diff_sload_dload,6,True,True,True,True,True,True
log_ct_state_ttl,6,True,True,True,True,True,True
state,6,True,True,True,True,True,True
log_dload,6,True,True,True,True,True,True
both_zero_sloss_dloss,6,True,True,True,True,True,True
id,6,True,True,True,True,True,True
log_sum_sttl_dttl,6,True,True,True,True,True,True
log_ct_dst_sport_ltm,6,True,True,True,True,True,True
log_sttl,5,True,True,True,True,True,False
is_integer_ratio_smean_dmean,5,True,True,True,True,False,True
one_zero_spkts_dpkts,5,True,False,True,True,True,True
one_zero_smean_dmean,5,True,False,True,True,True,True
is_integer_ratio_sttl_dttl,5,True,True,True,True,False,True
is_integer_ratio_sbytes_dbytes,5,True,True,True,True,False,True
both_zero_swin_dwin,5,True,False,True,True,True,True
is_integer_ratio_ct_srv_src_ct_srv_dst,5,True,True,True,True,False,True
one_zero_sttl_dttl,5,True,False,True,True,True,True
both_zero_sjit_djit,5,True,True,True,True,False,True
is_integer_ratio_sload_dload,5,True,True,True,True,False,True
log_dbytes,5,True,False,True,True,True,True
is_integer_ratio_sinpkt_dinpkt,5,True,True,True,True,False,True
log_ct_src_dport_ltm,5,True,True,True,True,False,True
one_zero_sbytes_dbytes,5,True,False,True,True,True,True
one_zero_sinpkt_dinpkt,5,True,False,True,True,True,True
log_ct_srv_dst,4,True,True,False,False,True,True
sum_ct_srv_src_ct_srv_dst,4,True,True,False,False,True,True
log_sum_spkts_dpkts,4,True,False,True,True,True,False
tcprtt,4,True,True,False,False,True,True
log_djit,4,True,True,False,False,True,True
ratio_smean_dmean,4,True,True,False,False,True,True
sum_ct_src_ltm_ct_dst_ltm,4,True,True,False,False,True,True
log_diff_sttl_dttl,4,True,True,False,False,True,True
log_dpkts,4,True,False,True,True,False,True
ackdat,4,True,True,False,False,True,True
ratio_sbytes_dbytes,4,True,True,False,False,True,True
service,4,True,True,False,False,True,True
log_ct_dst_src_ltm,4,True,True,False,False,True,True
log_sloss,4,True,True,False,False,True,True
diff_smean_dmean,4,True,True,False,False,True,True
dmean,4,True,True,False,False,True,True
ratio_sloss_dloss,4,True,True,False,False,True,True
log_ct_srv_src,4,True,True,False,False,True,True
rate,4,True,True,False,False,True,True
dinpkt,4,True,True,False,False,True,True
ratio_sload_dload,4,True,True,False,False,True,True
log_diff_sjit_djit,4,True,True,False,False,True,True
ratio_ct_src_dport_ltm_ct_dst_sport_ltm,4,True,True,False,False,True,True
log_sbytes,4,True,True,False,False,True,True
ratio_ct_srv_src_ct_srv_dst,4,True,True,False,False,True,True
log_ct_dst_ltm,4,True,True,False,False,True,True
log_dloss,4,True,True,False,False,True,True
log_dur,4,True,True,False,False,True,True
sum_ct_src_dport_ltm_ct_dst_sport_ltm,4,True,True,False,False,True,True
swin,4,True,False,True,True,True,False
log_diff_spkts_dpkts,4,True,True,False,False,True,True
is_integer_ratio_swin_dwin,3,True,True,False,False,False,True
sum_swin_dwin,3,True,False,True,True,False,False
diff_ct_src_ltm_ct_dst_ltm,3,True,True,False,False,False,True
log_ct_flw_http_mthd,3,True,True,False,False,False,True
diff_ct_src_dport_ltm_ct_dst_sport_ltm,3,True,True,False,False,False,True
is_integer_ratio_sjit_djit,3,True,True,False,False,False,True
ratio_spkts_dpkts,3,True,True,False,False,False,True
sum_sinpkt_dinpkt,3,True,True,False,False,True,False
log_diff_sloss_dloss,3,True,True,False,False,False,True
trans_depth,3,True,True,False,False,False,True
both_zero_sload_dload,3,True,True,False,False,False,True
log_sload,3,True,False,False,False,True,True
log_sum_sjit_djit,3,True,False,False,False,True,True
proto,3,True,True,False,False,False,True
is_integer_ratio_ct_src_dport_ltm_ct_dst_sport_ltm,3,True,True,False,False,False,True
is_integer_ratio_sloss_dloss,3,True,True,False,False,False,True
is_integer_ratio_spkts_dpkts,3,True,True,False,False,False,True
log_sum_sloss_dloss,3,True,False,False,False,True,True
log_diff_sbytes_dbytes,3,True,True,False,False,True,False
log_dttl,3,True,True,False,False,True,False
diff_stcpb_dtcpb,3,True,True,False,False,False,True
diff_swin_dwin,3,True,True,False,False,False,True
one_zero_stcpb_dtcpb,3,True,True,False,False,False,True
is_integer_ratio_ct_src_ltm_ct_dst_ltm,3,True,True,False,False,False,True
response_body_len,3,True,True,False,False,False,True
ratio_sjit_djit,3,True,True,False,False,False,True
synack,3,True,True,False,False,True,False
both_zero_sinpkt_dinpkt,3,True,True,False,False,False,True
one_zero_sload_dload,3,True,False,True,True,False,False
sum_smean_dmean,3,True,True,False,False,True,False
ratio_ct_src_ltm_ct_dst_ltm,3,True,True,False,False,False,True
one_zero_sjit_djit,3,True,True,False,False,False,True
log_sjit,3,True,True,False,False,True,False
both_zero_sttl_dttl,3,True,True,False,False,False,True
smean,3,True,True,False,False,True,False
log_ct_src_ltm,3,True,True,False,False,False,True
diff_ct_srv_src_ct_srv_dst,3,True,True,False,False,False,True
log_sum_sbytes_dbytes,3,True,True,False,False,True,False
log_sum_sload_dload,3,True,True,False,False,True,False
log_ct_ftp_cmd,2,True,False,False,False,False,True
dtcpb,2,True,True,False,False,False,False
is_sm_ips_ports,2,True,False,False,False,False,True
stcpb,2,True,True,False,False,False,False
ratio_stcpb_dtcpb,2,True,True,False,False,False,False
is_integer_ratio_stcpb_dtcpb,2,True,True,False,False,False,False
one_zero_swin_dwin,2,True,False,False,False,False,True
one_zero_sloss_dloss,2,True,True,False,False,False,False
diff_sinpkt_dinpkt,2,True,False,False,False,True,False
is_ftp_login,2,True,True,False,False,False,False
sum_stcpb_dtcpb,2,True,True,False,False,False,False
sinpkt,2,True,False,False,False,True,False
log_spkts,2,True,True,False,False,False,False
one_zero_ct_src_ltm_ct_dst_ltm,1,False,True,False,False,False,False
